rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
1,frame_0073.jpg,29.2,0.7224,0.6698,0.625,1.0,6,5,False,True
2,frame_0288.jpg,115.2,0.7056,0.7482,0.625,0.72,9,5,False,True
3,frame_0077.jpg,30.8,0.6918,0.6567,0.625,0.88,6,5,False,False
4,frame_0071.jpg,28.4,0.6831,0.5912,0.625,1.0,6,5,False,False
5,frame_0074.jpg,29.6,0.6721,0.6441,0.5,1.0,9,4,False,False
6,frame_0387.jpg,154.8,0.6511,0.6972,0.875,0.2,10,7,False,True
7,frame_0070.jpg,28.0,0.6321,0.6391,0.375,1.0,6,3,False,False
8,frame_0291.jpg,116.4,0.6301,0.6993,0.375,0.84,8,3,False,False
9,frame_0378.jpg,151.2,0.6246,0.6922,0.875,0.08,10,7,False,True
10,frame_0069.jpg,27.6,0.6236,0.4722,0.625,1.0,6,5,False,False
11,frame_0377.jpg,150.8,0.6231,0.6731,0.875,0.12,10,7,False,False
12,frame_0026.jpg,10.4,0.623,0.621,0.375,1.0,3,3,False,True
13,frame_0329.jpg,131.6,0.6167,0.8264,0.625,0.08,9,5,False,True
14,frame_0072.jpg,28.8,0.6121,0.5992,0.375,1.0,7,3,False,False
15,frame_0126.jpg,50.4,0.6037,0.6784,0.375,0.76,6,3,False,True
16,frame_0367.jpg,146.8,0.6033,0.6496,0.875,0.08,8,7,False,True
17,frame_0296.jpg,118.4,0.5977,0.5644,0.625,0.64,5,5,False,True
18,frame_0127.jpg,50.8,0.5966,0.5731,0.5,0.8,7,4,False,False
19,frame_0130.jpg,52.0,0.5936,0.5191,0.5,0.92,4,4,False,False
20,frame_0002.jpg,0.8,0.5923,0.4847,0.5,1.0,6,4,False,True
21,frame_0327.jpg,130.8,0.5914,0.7168,0.75,0.04,9,6,False,False
22,frame_0031.jpg,12.4,0.5896,0.5541,0.375,1.0,9,3,False,True
23,frame_0287.jpg,114.8,0.5896,0.6822,0.375,0.68,7,3,False,False
24,frame_0376.jpg,150.4,0.5889,0.6638,0.75,0.16,7,6,False,False
25,frame_0123.jpg,49.2,0.5877,0.6945,0.375,0.64,5,3,False,False
26,frame_0368.jpg,147.2,0.5857,0.5553,1.0,0.04,9,8,False,False
27,frame_0292.jpg,116.8,0.5853,0.4756,0.625,0.8,6,5,False,False
28,frame_0384.jpg,153.6,0.5832,0.7273,0.625,0.16,6,5,False,False
29,frame_0011.jpg,4.4,0.5805,0.536,0.375,1.0,3,3,False,True
30,frame_0170.jpg,68.0,0.5755,0.584,0.625,0.48,7,5,False,False
31,frame_0375.jpg,150.0,0.5739,0.6928,0.625,0.2,8,5,False,False
32,frame_0000.jpg,0.0,0.5726,0.5201,0.375,1.0,8,3,False,False
33,frame_0078.jpg,31.2,0.5687,0.5014,0.5,0.84,6,4,False,False
34,frame_0007.jpg,2.8,0.5653,0.4306,0.5,1.0,6,4,False,False
35,frame_0294.jpg,117.6,0.563,0.5379,0.5,0.72,5,4,False,False
36,frame_0183.jpg,73.2,0.5606,0.8053,0.5,0.04,4,4,False,False
37,frame_0013.jpg,5.2,0.5605,0.571,0.25,1.0,3,2,False,False
38,frame_0129.jpg,51.6,0.559,0.541,0.375,0.88,6,3,False,False
39,frame_0067.jpg,26.8,0.5574,0.4898,0.375,1.0,7,3,False,False
40,frame_0114.jpg,45.6,0.5569,0.6267,0.625,0.28,5,5,False,False
41,frame_0295.jpg,118.0,0.5527,0.6834,0.25,0.68,4,2,False,False
42,frame_0209.jpg,83.6,0.5517,0.5905,0.375,0.72,3,3,False,False
43,frame_0018.jpg,7.2,0.5513,0.5525,0.25,1.0,3,2,False,False
44,frame_0079.jpg,31.6,0.5445,0.5439,0.375,0.8,8,3,False,False
45,frame_0332.jpg,132.8,0.5438,0.6966,0.625,0.04,8,5,False,False
46,frame_0284.jpg,113.6,0.5437,0.6384,0.375,0.56,5,3,False,False
47,frame_0328.jpg,131.2,0.5431,0.6042,0.75,0.08,10,6,False,False
48,frame_0275.jpg,110.0,0.5372,0.6194,0.625,0.2,6,5,False,False
49,frame_0175.jpg,70.0,0.5365,0.586,0.625,0.28,7,5,False,False
50,frame_0293.jpg,117.2,0.5361,0.4682,0.5,0.76,6,4,False,False
51,frame_0087.jpg,34.8,0.535,0.6529,0.375,0.48,3,3,False,False
52,frame_0033.jpg,13.2,0.5347,0.4443,0.375,1.0,6,3,False,False
53,frame_0128.jpg,51.2,0.5328,0.5046,0.375,0.84,7,3,False,False
54,frame_0095.jpg,38.0,0.5291,0.6191,0.625,0.16,7,5,False,False
55,frame_0020.jpg,8.0,0.5264,0.5028,0.25,1.0,3,2,False,False
56,frame_0283.jpg,113.2,0.5225,0.612,0.375,0.52,4,3,False,False
57,frame_0167.jpg,66.8,0.5207,0.5763,0.375,0.6,6,3,False,False
58,frame_0122.jpg,48.8,0.5202,0.5753,0.375,0.6,3,3,False,False
59,frame_0015.jpg,6.0,0.5139,0.4778,0.25,1.0,5,2,False,False
